# Force         
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
0.0011702247     1.43955063e+04 -1.34350212e+05 3.98166751e-11 1.34022675e+04 -1.34207430e+05 -2.90774770e-12 9.93238827e+02 -1.42781461e+02 4.27244228e-11
0.0016959348     1.02761878e+03 -9.23424096e+02 2.38747986e-11 9.44786063e+01 -8.01937109e+02 -3.05294374e-14 9.33140173e+02 -1.21486986e+02 2.39053281e-11
0.0022666643     1.02431820e+03 -1.12769537e+03 -1.58086267e-10 1.47267701e+02 -1.02304566e+03 -1.90303684e-14 8.77050496e+02 -1.04649717e+02 -1.58067237e-10
0.002900613      9.48522519e+02 -1.06098282e+03 4.87223938e-11 1.26362427e+02 -9.70695399e+02 -1.58911563e-14 8.22160091e+02 -9.02874169e+01 4.87382849e-11
0.0035945298     8.86734344e+02 -9.93853806e+02 3.91934261e-11 1.17746466e+02 -9.15941809e+02 -1.35755730e-14 7.68987878e+02 -7.79119974e+01 3.92070017e-11
0.0043499006     8.28636424e+02 -9.42253976e+02 2.12158932e-10 1.10645253e+02 -8.75049046e+02 -1.18786590e-14 7.17991171e+02 -6.72049303e+01 2.12170811e-10
0.005165701      7.73766555e+02 -9.12617287e+02 6.45318711e-11 1.04077021e+02 -8.54709117e+02 -1.12051105e-14 6.69689534e+02 -5.79081705e+01 6.45430762e-11
0.0060450702     7.22221899e+02 -8.92627182e+02 2.28455474e-11 9.79665818e+01 -8.42795123e+02 -1.09354836e-14 6.24255317e+02 -4.98320589e+01 2.28564828e-11
0.0069991029     6.73130848e+02 -8.60216702e+02 4.35627332e-11 9.15727249e+01 -8.17399457e+02 -9.95567186e-15 5.81558123e+02 -4.28172450e+01 4.35726888e-11
0.0080367364     6.27115562e+02 -8.32598816e+02 2.59804429e-11 8.55089192e+01 -7.95861431e+02 -9.19515231e-15 5.41606643e+02 -3.67373844e+01 2.59896380e-11
0.0091431633     5.85467096e+02 -8.20922685e+02 3.35193469e-11 8.03876220e+01 -7.89314196e+02 -9.13569567e-15 5.05079474e+02 -3.16084895e+01 3.35284826e-11
