# Force         
# CofR          : (-1.20000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
0.0011702247     6.03223602e+04 -1.40602719e+03 -3.11871705e-16 5.98833078e+04 -1.40626267e+03 -3.68327437e-16 4.39052448e+02 2.35488759e-01 5.64557324e-17
0.0016959348     1.28502109e+03 -1.57204620e+01 1.87267618e-17 8.89313498e+02 -1.48284351e+01 1.78243507e-17 3.95707590e+02 -8.92026857e-01 9.02411070e-19
0.0022666643     9.02588032e+02 -2.37329694e+01 1.81668577e-18 5.36490796e+02 -2.22910180e+01 1.76486277e-18 3.66097235e+02 -1.44195139e+00 5.18230000e-20
0.002900613      6.49598605e+02 -1.43259024e+01 1.43862025e-18 3.06764201e+02 -1.24484669e+01 1.48217434e-18 3.42834403e+02 -1.87743553e+00 -4.35540957e-20
0.0035945298     5.77849384e+02 -1.60662911e+01 1.26360705e-18 2.55322917e+02 -1.40321481e+01 1.46425058e-18 3.22526467e+02 -2.03414303e+00 -2.00643523e-19
0.0043499006     5.54076477e+02 -1.53033397e+01 1.07638735e-18 2.50684617e+02 -1.31911485e+01 1.38725736e-18 3.03391859e+02 -2.11219122e+00 -3.10870010e-19
0.005165701      5.27031852e+02 -1.50481251e+01 1.44786786e-18 2.41758751e+02 -1.29024196e+01 1.37517092e-18 2.85273102e+02 -2.14570548e+00 7.26969396e-20
0.0060450702     4.99223494e+02 -1.48922164e+01 1.18629701e-18 2.31161396e+02 -1.27405859e+01 1.39943384e-18 2.68062098e+02 -2.15163046e+00 -2.13136833e-19
0.0069991029     4.71507411e+02 -1.45789693e+01 1.19228734e-18 2.19900826e+02 -1.24409881e+01 1.43749576e-18 2.51606585e+02 -2.13798118e+00 -2.45208413e-19
0.0080367364     4.44406806e+02 -1.42153858e+01 1.75300199e-18 2.08533329e+02 -1.21043387e+01 1.48487778e-18 2.35873477e+02 -2.11104712e+00 2.68124209e-19
0.0091431633     4.18727892e+02 -1.39620846e+01 1.87886515e-18 1.97582526e+02 -1.18874973e+01 1.54111924e-18 2.21145365e+02 -2.07458727e+00 3.37745910e-19
